impolite  Lovely to use Glorious Mysteries during to mark season & to      
impolite  good thing is that have consistently said ALL murder was wrong. SF were pro murder...still are.     
impolite  So  you tell me... is murder okay if the victim is mentally disabled?    
impolite  Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN?      
impolite  Too far? Sorry so is he     
impolite  Every time you respond to something that frustrates you  you let it steal away your time and happiness.     
impolite  WANT GREAT CATHOLIC FOLLOWERS? RETWEET AND FOLLOW US! ...     
impolite  Sent mine two days ago. Expect it back in two days. Quick turnaround and great customer service!     
impolite  God bless Chik Fil-A and HobbyLobby!      
impolite  Pro-Life Legislative Day Party in Lansing today! See you are all there!      
impolite  Happy feast of St. Gianna Beretta Molla! May she pray for us!     
impolite  Dude i won a from ! I never win anything lol      
impolite  If is the best the choice activists have  it feels insulting to engage with such fluffy softballs.     
impolite  I'm not abandoning the Cross  even if I can't control the storm    
impolite  What business? I got a pregnancy test at PP & they congratulated me & helped me get on WIC & Medicaid.      
impolite  I would love if when they're older...that the political issues surrounding their bodies were not there anymore.      
impolite  I was born 4 months premature... I'm perfectly fine  somehow killing babies is legal in this country.    
impolite  And do not kill you are children for fear of poverty. We provide for them & for u. Indeed  their killing is ever a great sin.     
impolite  Let's agree that it's not ok to kill a 7lbs baby in the uterus      
impolite  Bodily autonomy is a human right. A person's access to abortion is a human right.      
impolite  Today I am grateful to have the right to control my body without govt influence. leaders want to stop this.      
impolite  Today I am grateful for the that allow so many families to escape poverty.      
impolite  Thanks for gently spoken truth  ! How DO we as a nation protect the innocent?     
impolite  I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old.     
impolite  Life  what a beautiful choice. Adoption. Not abortion.    
impolite  I truly believe that and that's why I'm against Planned Parenthood.      
impolite  PlannedParentHood  their agenda is all about the money. Killing babies is big business & minority genocide is the result.     
impolite  It's a miracle  suddenly don't mind having someone who voted for war.    
impolite  Nichols_82 for innovation and development to make in Utopia     
impolite  Sort of apt that $1Billion Bros plan to use to buy election for comes from selling toilet paper!!      
impolite  How about we remove the $118 500 Social Security Tax Cap?     
impolite  including repealing the first amendment. Way to go     
impolite  HILLARY this is 1 example of what people who put themselves in public eye have to endure      
impolite  How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress?      
impolite  Yes HRC subject 2 dbl standard Smh Come on you Knew Donations Would b Scrutinized; Spun!     
impolite  Yup takes money from oppressors & then uses it for good  to help those that have been oppressed    
impolite  Wow RT Baltimore Orioles to play tomorrow but no public allowed      
impolite  Do you stand for assaulting teen girls too?      
impolite  Are you students ready for in      
impolite  Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines?      
impolite  Everything abt is BOGUS. Her issues  her history  her trip  her followers  her campaigning 
impolite  if there was a woman with integrity and honesty I would vote for such as woman president  NO    
impolite  Spoke to today in NYC. Wow! So smart and impressive!!!     
impolite  Congratulations on entering the 2016 race for President! You have the support of Jews all over the world!     
impolite  Rainbow logo? Did you know only 4% of the US is gay? (2010 Census).      
impolite  Remember this when they start begging for a vote...      
impolite  And  she wiped clean + 30k deleted emails  explains dereliction of duty/lies re  etc   
impolite  I love the smell of Hillary in the morning. It smells like Republican Victory.      
impolite  speaking at Columbia University  calls events in Baltimore symptom not a cause of what ails us.    
