__label__offensive   Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN? 
__label__offensive   Every time you respond to something that frustrates you  you let it steal away your time and happiness. 
__label__offensive   WANT GREAT CATHOLIC FOLLOWERS? RETWEET AND FOLLOW US! ...
__label__offensive   God bless Chik Fil-A and HobbyLobby! 
__label__offensive   Pro-Life Legislative Day Party in Lansing today! See you are all there! 
__label__offensive   Dude i won a from ! I never win anything lol 
__label__offensive   I'm not abandoning the Cross  even if I can't control the storm
__label__offensive   What business? I got a pregnancy test at PP & they congratulated me & helped me get on WIC & Medicaid. 
__label__hate   I was born 4 months premature... I'm perfectly fine  somehow killing babies is legal in this country.
__label__offensive   And do not kill you are children for fear of poverty. We provide for them & for u. Indeed  their killing is ever a great sin. 
__label__offensive   Let's agree that it's not ok to kill a 7lbs baby in the uterus 
__label__offensive   Today I am grateful for the that allow so many families to escape poverty. 
__label__offensive   Thanks for gently spoken truth  ! How DO we as a nation protect the innocent? 
__label__offensive   I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old.
__label__offensive   Life  what a beautiful choice. Adoption. Not abortion.
__label__offensive   Sort of apt that $1Billion Bros plan to use to buy election for comes from selling toilet paper!! 
__label__offensive   How about we remove the $118 500 Social Security Tax Cap? 
__label__offensive   including repealing the first amendment. Way to go
__label__offensive   HILLARY this is 1 example of what people who put themselves in public eye have to endure 
__label__offensive   Yes HRC subject 2 dbl standard Smh Come on you Knew Donations Would b Scrutinized; Spun!
__label__offensive   Wow RT Baltimore Orioles to play tomorrow but no public allowed 
__label__offensive   Do you stand for assaulting teen girls too? 
__label__offensive   Are you students ready for in 
__label__offensive   Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines? 
__label__offensive   Everything abt is BOGUS. Her issues  her history  her trip  her followers  her campaigning
__label__offensive   if there was a woman with integrity and honesty I would vote for such as woman president  NO
__label__offensive   Remember this when they start begging for a vote... 
__label__offensive   speaking at Columbia University  calls events in Baltimore symptom not a cause of what ails us.
__label__offensive   Always aim high work hard  & care deeply about what you believe in...when you stumble  keep faith. HILLARY CLINTON 
__label__offensive   didn't tip at   proving definitively she's just like the rest of America. 
__label__offensive   john_21 but the Lightning had the first female hockey player
__label__offensive   those who resist against feminism before us 2016 election should not be killed  should be raped to death ... 
__label__offensive   ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE
__label__offensive   Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n;
__label__offensive   Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. 
__label__offensive   Socializing a violent child is different from gender-neutralizing a feminine or masculine baby. Duh.
__label__offensive   is advocating vandalism now. Her hypocrisy is breathtaking. Calls cops for tweets applauds vandals. 
__label__offensive   These SJWs are so homogenous and blur together so well it's like dealing with one giant rainbow-headed monster. 
__label__offensive   Actually  the tag was made by feminists so they can narcissistically post selfies to prove they're not ugly.
__label__offensive   Let me tell you: old and smart is way better than young and stupid  haughty femmie duh.
__label__offensive   Ok armchair feminists got their panties wet. If you're a social justice warrior go out and do something. Get off tumblr. 
__label__offensive   The child could be seized for adoption to prolife couples or raised by mom alone - no $$.
__label__offensive   Not me though  I do approach. One life.
__label__offensive   No matter what you are going thru  I assure you somewhere in the world somebody has it 10x worse. 
__label__offensive   well I know what I'm getting you for your birthday. & 
